Date,Open,High,Low,Close,Adj Close,Volume
2024-07-01,3.50,3.52,3.49,3.51,3.51,165308
2024-07-02,3.51,3.52,3.50,3.50,3.50,118567
2024-07-03,3.50,3.51,3.45,3.46,3.46,233942
2024-07-04,3.46,3.46,3.40,3.41,3.41,194394
2024-07-05,3.41,3.42,3.38,3.39,3.39,98661
2024-07-08,3.39,3.43,3.39,3.43,3.43,147950
2024-07-09,3.43,3.47,3.42,3.46,3.46,166673
2024-07-10,3.46,3.48,3.45,3.48,3.48,105873
2024-07-11,3.48,3.48,3.45,3.46,3.46,179456
2024-07-12,3.46,3.48,3.45,3.47,3.47,218715
2024-07-15,3.47,3.48,3.45,3.45,3.45,132402
2024-07-16,3.45,3.46,3.43,3.44,3.44,181028
2024-07-17,3.44,3.49,3.43,3.49,3.49,131964
2024-07-18,3.49,3.51,3.48,3.50,3.50,194812
2024-07-19,3.50,3.51,3.45,3.45,3.45,123674
2024-07-22,3.45,3.48,3.45,3.48,3.48,244246
2024-07-23,3.48,3.49,3.46,3.47,3.47,102978
2024-07-24,3.47,3.47,3.47,3.47,3.47,242679
2024-07-25,3.47,3.48,3.46,3.47,3.47,166582
2024-07-26,3.47,3.47,3.46,3.46,3.46,244542
2024-07-29,3.46,3.48,3.46,3.47,3.47,114621
2024-07-30,3.47,3.48,3.43,3.44,3.44,119442
2024-07-31,3.44,3.44,3.41,3.41,3.41,99259
2024-08-01,3.41,3.43,3.41,3.43,3.43,131454
2024-08-02,3.43,3.47,3.43,3.47,3.47,98208
2024-08-05,3.47,3.50,3.47,3.50,3.50,241631
2024-08-06,3.50,3.50,3.46,3.47,3.47,205330
2024-08-07,3.47,3.47,3.46,3.47,3.47,134774
2024-08-08,3.47,3.47,3.46,3.46,3.46,200005
2024-08-09,3.46,3.49,3.46,3.48,3.48,193573
2024-08-12,3.48,3.48,3.46,3.46,3.46,135712
2024-08-13,3.46,3.46,3.42,3.42,3.42,188170
2024-08-14,3.42,3.43,3.41,3.43,3.43,207862
2024-08-15,3.43,3.46,3.43,3.45,3.45,209309
2024-08-16,3.45,3.49,3.44,3.49,3.49,202385
2024-08-19,3.49,3.49,3.46,3.46,3.46,101939
2024-08-20,3.46,3.48,3.46,3.48,3.48,122879
2024-08-21,3.48,3.51,3.47,3.50,3.50,174195
2024-08-22,3.50,3.53,3.49,3.52,3.52,197124
2024-08-23,3.52,3.54,3.51,3.54,3.54,130596
2024-08-26,3.54,3.54,3.49,3.49,3.49,236727
2024-08-27,3.49,3.53,3.48,3.53,3.53,146206
2024-08-28,3.53,3.54,3.53,3.53,3.53,106561
2024-08-29,3.53,3.53,3.53,3.53,3.53,242517
2024-08-30,3.53,3.54,3.50,3.50,3.50,158892
2024-09-02,3.50,3.51,3.44,3.45,3.45,158909
2024-09-03,3.45,3.48,3.44,3.47,3.47,107137
2024-09-04,3.47,3.48,3.46,3.47,3.47,235235
2024-09-05,3.47,3.47,3.43,3.43,3.43,246147
2024-09-06,3.43,3.44,3.39,3.39,3.39,116859
2024-09-09,3.39,3.41,3.39,3.41,3.41,249236
2024-09-10,3.41,3.41,3.37,3.37,3.37,139060
2024-09-11,3.37,3.39,3.36,3.39,3.39,115749
2024-09-12,3.39,3.44,3.39,3.44,3.44,126384
2024-09-13,3.44,3.45,3.40,3.41,3.41,101705
2024-09-16,3.41,3.42,3.41,3.42,3.42,229007
2024-09-17,3.42,3.42,3.39,3.40,3.40,149604
2024-09-18,3.40,3.45,3.39,3.44,3.44,97612
2024-09-19,3.44,3.45,3.39,3.40,3.40,167902
2024-09-20,3.40,3.42,3.39,3.42,3.42,235839
2024-09-23,3.42,3.46,3.42,3.46,3.46,137059
2024-09-24,3.46,3.46,3.44,3.44,3.44,187488
2024-09-25,3.44,3.48,3.43,3.47,3.47,144200
2024-09-26,3.47,3.47,3.45,3.45,3.45,163265
2024-09-27,3.45,3.46,3.45,3.45,3.45,99748
2024-09-30,3.45,3.50,3.45,3.49,3.49,187097
2024-10-01,3.49,3.50,3.47,3.47,3.47,190415
