Date,Open,High,Low,Close,Adj Close,Volume
2024-07-01,5.60,5.61,5.55,5.56,5.56,246480
2024-07-02,5.56,5.59,5.54,5.59,5.59,102022
2024-07-03,5.59,5.63,5.58,5.63,5.63,168579
2024-07-04,5.63,5.63,5.59,5.59,5.59,95279
2024-07-05,5.59,5.66,5.58,5.65,5.65,124962
2024-07-08,5.65,5.70,5.65,5.69,5.69,237348
2024-07-09,5.69,5.74,5.69,5.74,5.74,208323
2024-07-10,5.74,5.79,5.73,5.79,5.79,137381
2024-07-11,5.79,5.80,5.69,5.70,5.70,172647
2024-07-12,5.70,5.72,5.64,5.64,5.64,247750
2024-07-15,5.64,5.72,5.63,5.71,5.71,156098
2024-07-16,5.71,5.72,5.63,5.63,5.63,144389
2024-07-17,5.63,5.69,5.61,5.68,5.68,189779
2024-07-18,5.68,5.70,5.67,5.69,5.69,221014
2024-07-19,5.69,5.71,5.62,5.62,5.62,148198
2024-07-22,5.62,5.64,5.58,5.58,5.58,248270
2024-07-23,5.58,5.61,5.58,5.61,5.61,92319
2024-07-24,5.61,5.61,5.54,5.55,5.55,171218
2024-07-25,5.55,5.57,5.55,5.56,5.56,104970
2024-07-26,5.56,5.57,5.49,5.51,5.51,242450
2024-07-29,5.51,5.60,5.50,5.59,5.59,179042
2024-07-30,5.59,5.60,5.58,5.60,5.60,227297
2024-07-31,5.60,5.66,5.60,5.65,5.65,192691
2024-08-01,5.65,5.73,5.63,5.73,5.73,158341
2024-08-02,5.73,5.75,5.72,5.75,5.75,155300
2024-08-05,5.75,5.82,5.74,5.81,5.81,239113
2024-08-06,5.81,5.82,5.80,5.80,5.80,171940
2024-08-07,5.80,5.81,5.72,5.72,5.72,177441
2024-08-08,5.72,5.74,5.71,5.72,5.72,237580
2024-08-09,5.72,5.72,5.63,5.64,5.64,159016
2024-08-12,5.64,5.69,5.63,5.68,5.68,153738
2024-08-13,5.68,5.68,5.65,5.66,5.66,98141
2024-08-14,5.66,5.66,5.61,5.62,5.62,122096
2024-08-15,5.62,5.70,5.61,5.68,5.68,234966
2024-08-16,5.68,5.75,5.68,5.74,5.74,206726
2024-08-19,5.74,5.76,5.73,5.75,5.75,191370
2024-08-20,5.75,5.82,5.74,5.82,5.82,100263
2024-08-21,5.82,5.85,5.82,5.83,5.83,136506
2024-08-22,5.83,5.84,5.81,5.81,5.81,206824
2024-08-23,5.81,5.82,5.76,5.76,5.76,246729
2024-08-26,5.76,5.84,5.75,5.82,5.82,120595
2024-08-27,5.82,5.83,5.73,5.74,5.74,115003
2024-08-28,5.74,5.75,5.64,5.66,5.66,166277
2024-08-29,5.66,5.71,5.65,5.70,5.70,165043
2024-08-30,5.70,5.71,5.63,5.65,5.65,216410
2024-09-02,5.65,5.72,5.64,5.70,5.70,222277
2024-09-03,5.70,5.72,5.69,5.70,5.70,203092
2024-09-04,5.70,5.71,5.68,5.69,5.69,182164
2024-09-05,5.69,5.74,5.68,5.72,5.72,218407
2024-09-06,5.72,5.72,5.66,5.67,5.67,131832
2024-09-09,5.67,5.71,5.65,5.70,5.70,219351
2024-09-10,5.70,5.75,5.69,5.74,5.74,122401
2024-09-11,5.74,5.76,5.74,5.76,5.76,243161
2024-09-12,5.76,5.77,5.71,5.72,5.72,115074
2024-09-13,5.72,5.72,5.69,5.70,5.70,129489
2024-09-16,5.70,5.78,5.68,5.76,5.76,101588
2024-09-17,5.76,5.78,5.76,5.77,5.77,127366
2024-09-18,5.77,5.84,5.76,5.83,5.83,110357
2024-09-19,5.83,5.86,5.81,5.85,5.85,182525
2024-09-20,5.85,5.86,5.77,5.78,5.78,123463
2024-09-23,5.78,5.78,5.77,5.78,5.78,242774
2024-09-24,5.78,5.87,5.77,5.85,5.85,97432
2024-09-25,5.85,5.93,5.84,5.93,5.93,180081
2024-09-26,5.93,5.98,5.91,5.97,5.97,141004
2024-09-27,5.97,5.99,5.95,5.98,5.98,233758
2024-09-30,5.98,5.99,5.96,5.96,5.96,184554
2024-10-01,5.96,5.97,5.94,5.95,5.95,239582
2024-10-02,5.95,6.03,5.93,6.03,6.03,115915
2024-10-03,6.03,6.04,5.96,5.96,5.96,175814
2024-10-04,5.96,5.98,5.94,5.94,5.94,178476
2024-10-07,5.94,6.01,5.94,6.01,6.01,223954
2024-10-08,6.01,6.03,5.93,5.94,5.94,143386
2024-10-09,5.94,6.00,5.93,6.00,6.00,182992
2024-10-10,6.00,6.01,5.97,5.98,5.98,93227
2024-10-11,5.98,6.05,5.96,6.04,6.04,168215
2024-10-14,6.04,6.05,6.03,6.04,6.04,233870
2024-10-15,6.04,6.05,5.94,5.95,5.95,172226
2024-10-16,5.95,6.01,5.94,6.01,6.01,248626
2024-10-17,6.01,6.08,6.00,6.06,6.06,119842
2024-10-18,6.06,6.07,5.98,5.99,5.99,103625
2024-10-21,5.99,6.07,5.97,6.06,6.06,148768
2024-10-22,6.06,6.13,6.06,6.13,6.13,184142
2024-10-23,6.13,6.14,6.06,6.07,6.07,110034
2024-10-24,6.07,6.14,6.06,6.13,6.13,196627
2024-10-25,6.13,6.21,6.12,6.20,6.20,150610
2024-10-28,6.20,6.27,6.20,6.27,6.27,210266
2024-10-29,6.27,6.28,6.25,6.26,6.26,162402
2024-10-30,6.26,6.26,6.25,6.26,6.26,166680
2024-10-31,6.26,6.36,6.25,6.35,6.35,247622
2024-11-01,6.35,6.35,6.31,6.31,6.31,197960
2024-11-04,6.31,6.33,6.30,6.32,6.32,187793
2024-11-05,6.32,6.34,6.30,6.31,6.31,239750
2024-11-06,6.31,6.39,6.29,6.37,6.37,220174
2024-11-07,6.37,6.38,6.30,6.31,6.31,187140
2024-11-08,6.31,6.32,6.28,6.28,6.28,170164
2024-11-11,6.28,6.32,6.28,6.31,6.31,110670
2024-11-12,6.31,6.31,6.29,6.30,6.30,216243
2024-11-13,6.30,6.31,6.30,6.30,6.30,144807
2024-11-14,6.30,6.40,6.30,6.40,6.40,104280
2024-11-15,6.40,6.49,6.39,6.48,6.48,112740
2024-11-18,6.48,6.52,6.46,6.50,6.50,205152
2024-11-19,6.50,6.59,6.50,6.58,6.58,165638
2024-11-20,6.58,6.59,6.48,6.49,6.49,154984
2024-11-21,6.49,6.57,6.47,6.55,6.55,101713
2024-11-22,6.55,6.56,6.52,6.53,6.53,177568
2024-11-25,6.53,6.54,6.49,6.51,6.51,119096
2024-11-26,6.51,6.52,6.46,6.46,6.46,123304
2024-11-27,6.46,6.56,6.46,6.54,6.54,135314
2024-11-28,6.54,6.55,6.43,6.44,6.44,226407
2024-11-29,6.44,6.48,6.42,6.48,6.48,227613
2024-12-02,6.48,6.52,6.47,6.51,6.51,91625
2024-12-03,6.51,6.56,6.50,6.56,6.56,101130
2024-12-04,6.56,6.57,6.49,6.50,6.50,173737
2024-12-05,6.50,6.52,6.43,6.43,6.43,173659
2024-12-06,6.43,6.52,6.43,6.50,6.50,198966
2024-12-09,6.50,6.51,6.42,6.43,6.43,144918
2024-12-10,6.43,6.44,6.41,6.44,6.44,119867
2024-12-11,6.44,6.46,6.38,6.38,6.38,247496
2024-12-12,6.38,6.38,6.27,6.29,6.29,218884
2024-12-13,6.29,6.32,6.29,6.31,6.31,168651
2024-12-16,6.31,6.41,6.30,6.40,6.40,125262
2024-12-17,6.40,6.49,6.39,6.48,6.48,206795
2024-12-18,6.48,6.50,6.46,6.49,6.49,141607
2024-12-19,6.49,6.50,6.38,6.39,6.39,225496
2024-12-20,6.39,6.47,6.38,6.45,6.45,218329
2024-12-23,6.45,6.46,6.39,6.40,6.40,153415
2024-12-24,6.40,6.41,6.32,6.33,6.33,233960
2024-12-25,6.33,6.43,6.33,6.42,6.42,132999
2024-12-26,6.42,6.42,6.37,6.38,6.38,241968
2024-12-27,6.38,6.39,6.31,6.32,6.32,176691
2024-12-30,6.32,6.43,6.31,6.41,6.41,139440
2024-12-31,6.41,6.43,6.40,6.41,6.41,128031
2025-01-01,6.41,6.42,6.40,6.41,6.41,152307
2025-01-02,6.41,6.50,6.40,6.49,6.49,193017
2025-01-03,6.49,6.49,6.47,6.48,6.48,157256
2025-01-06,6.48,6.49,6.46,6.46,6.46,238129
2025-01-07,6.46,6.47,6.45,6.46,6.46,200989
2025-01-08,6.46,6.48,6.46,6.47,6.47,233351
2025-01-09,6.47,6.47,6.41,6.41,6.41,206234
2025-01-10,6.41,6.43,6.34,6.36,6.36,98441
2025-01-13,6.36,6.43,6.35,6.41,6.41,209399
2025-01-14,6.41,6.51,6.41,6.51,6.51,171903
2025-01-15,6.51,6.51,6.45,6.45,6.45,185833
2025-01-16,6.45,6.52,6.44,6.52,6.52,160176
