Date,Open,High,Low,Close,Adj Close,Volume
2024-07-01,6.30,6.35,6.28,6.33,6.33,228900
2024-07-02,6.33,6.35,6.33,6.35,6.35,177117
2024-07-03,6.35,6.43,6.33,6.42,6.42,170422
2024-07-04,6.42,6.49,6.41,6.48,6.48,233228
2024-07-05,6.48,6.49,6.48,6.48,6.48,212444
2024-07-08,6.48,6.49,6.39,6.39,6.39,143769
2024-07-09,6.39,6.43,6.39,6.42,6.42,235695
2024-07-10,6.42,6.50,6.40,6.50,6.50,246046
2024-07-11,6.50,6.52,6.49,6.51,6.51,111103
2024-07-12,6.51,6.60,6.50,6.59,6.59,117972
2024-07-15,6.59,6.60,6.55,6.55,6.55,171906
2024-07-16,6.55,6.57,6.54,6.56,6.56,248979
2024-07-17,6.56,6.56,6.51,6.52,6.52,155816
2024-07-18,6.52,6.60,6.52,6.58,6.58,106431
2024-07-19,6.58,6.63,6.57,6.62,6.62,145342
2024-07-22,6.62,6.62,6.52,6.54,6.54,111349
2024-07-23,6.54,6.57,6.54,6.57,6.57,106696
2024-07-24,6.57,6.57,6.50,6.50,6.50,99781
2024-07-25,6.50,6.55,6.50,6.53,6.53,166659
2024-07-26,6.53,6.53,6.51,6.53,6.53,138525
2024-07-29,6.53,6.54,6.45,6.46,6.46,170619
2024-07-30,6.46,6.56,6.45,6.54,6.54,231548
2024-07-31,6.54,6.57,6.53,6.56,6.56,92648
2024-08-01,6.56,6.56,6.50,6.52,6.52,137304
2024-08-02,6.52,6.59,6.51,6.58,6.58,168369
2024-08-05,6.58,6.59,6.52,6.52,6.52,204842
2024-08-06,6.52,6.57,6.52,6.57,6.57,131243
2024-08-07,6.57,6.58,6.47,6.49,6.49,166289
2024-08-08,6.49,6.50,6.48,6.49,6.49,169796
2024-08-09,6.49,6.58,6.47,6.57,6.57,176526
2024-08-12,6.57,6.58,6.46,6.47,6.47,228422
2024-08-13,6.47,6.48,6.39,6.39,6.39,219435
2024-08-14,6.39,6.40,6.37,6.38,6.38,134605
