Date,Open,High,Low,Close,Adj Close,Volume
2024-07-01,0.90,0.90,0.90,0.90,0.90,199091
2024-07-02,0.90,0.91,0.90,0.91,0.91,102983
2024-07-03,0.91,0.92,0.91,0.92,0.92,165472
2024-07-04,0.92,0.92,0.91,0.91,0.91,142583
2024-07-05,0.91,0.92,0.91,0.92,0.92,201588
2024-07-08,0.92,0.92,0.92,0.92,0.92,188140
2024-07-09,0.92,0.93,0.92,0.93,0.93,192160
2024-07-10,0.93,0.94,0.92,0.94,0.94,193585
2024-07-11,0.94,0.94,0.92,0.92,0.92,204911
2024-07-12,0.92,0.93,0.92,0.93,0.93,188049
2024-07-15,0.93,0.93,0.92,0.92,0.92,181565
2024-07-16,0.92,0.92,0.91,0.91,0.91,117937
2024-07-17,0.91,0.92,0.91,0.92,0.92,174094
2024-07-18,0.92,0.93,0.92,0.93,0.93,101335
2024-07-19,0.93,0.93,0.92,0.92,0.92,203818
2024-07-22,0.92,0.92,0.92,0.92,0.92,191671
2024-07-23,0.92,0.92,0.92,0.92,0.92,227574
2024-07-24,0.92,0.92,0.91,0.91,0.91,243057
2024-07-25,0.91,0.93,0.91,0.92,0.92,206981
2024-07-26,0.92,0.93,0.92,0.92,0.92,221155
2024-07-29,0.92,0.92,0.92,0.92,0.92,102954
2024-07-30,0.92,0.93,0.91,0.91,0.91,230651
2024-07-31,0.91,0.92,0.90,0.91,0.91,141592
2024-08-01,0.91,0.91,0.91,0.91,0.91,206499
2024-08-02,0.91,0.93,0.91,0.93,0.93,157920
2024-08-05,0.93,0.93,0.91,0.91,0.91,156838
2024-08-06,0.91,0.91,0.91,0.91,0.91,95426
2024-08-07,0.91,0.91,0.90,0.90,0.90,246229
2024-08-08,0.90,0.91,0.90,0.91,0.91,145873
2024-08-09,0.91,0.91,0.91,0.91,0.91,246059
2024-08-12,0.91,0.91,0.90,0.90,0.90,207588
2024-08-13,0.90,0.90,0.89,0.89,0.89,162202
2024-08-14,0.89,0.89,0.88,0.88,0.88,168674
2024-08-15,0.88,0.88,0.87,0.87,0.87,225276
2024-08-16,0.87,0.88,0.87,0.87,0.87,210032
2024-08-19,0.87,0.87,0.86,0.86,0.86,207546
2024-08-20,0.86,0.87,0.86,0.87,0.87,221969
2024-08-21,0.87,0.87,0.86,0.87,0.87,145396
2024-08-22,0.87,0.88,0.86,0.87,0.87,138028
2024-08-23,0.87,0.88,0.87,0.88,0.88,154124
2024-08-26,0.88,0.90,0.88,0.89,0.89,189598
2024-08-27,0.89,0.90,0.89,0.89,0.89,196436
2024-08-28,0.89,0.90,0.89,0.89,0.89,201327
